pair_id	parent_a	parent_b	label	group_id	fold
Tnfrsf1b:Prxl2b	Tnfrsf1b	Prxl2b	1	Dhrs3	4
Tns3:Rab33b	Tns3	Rab33b	1	Rab33b	4
Tomm70a:Ltn1	Tomm70a	Ltn1	1	Ltn1	1
Tor1aip1:Fcgr3	Tor1aip1	Fcgr3	0	Fcgr3	3
Tpd52l2:Cmtm7	Tpd52l2	Cmtm7	1	Cmtm7	3
Tpm3:Ubr5	Tpm3	Ubr5	1	Tpm3	0
Trappc10:Lyz2	Trappc10	Lyz2	0	Lyz2	1
Trim25:Atox1	Trim25	Atox1	0	Atox1	2
Trim25:Il27	Trim25	Il27	0	Atox1	2
Trim30c:Gm15133	Trim30c	Gm15133	0	Gm15133	0
Trmt1:Ing1	Trmt1	Ing1	0	Ing1	1
Trrap:Bri3	Trrap	Bri3	0	Bri3	1
Tsg101:Ecpas	Tsg101	Ecpas	0	Ecpas	3
Tspan31:Nup88	Tspan31	Nup88	0	Nup88	2
Tspan5:Eif4e	Tspan5	Eif4e	0	Eif4e	3
Ttc7b:Wdr91	Ttc7b	Wdr91	0	Ier3ip1	2
Tut7:Tmem251	Tut7	Tmem251	0	Tmem251	4
Twf2:Tap1	Twf2	Tap1	0	Tap1	1
Txlng:Sms	Txlng	Sms	0	Sms	1
Txnrd1:Ntpcr	Txnrd1	Ntpcr	0	Ntpcr	0
Tyrobp:B2m	Tyrobp	B2m	1	Adam8	2
Ubap2:Dcaf12	Ubap2	Dcaf12	0	Dcaf12	3
Ube2g1:Skap2	Ube2g1	Skap2	1	Ankfy1	4
Ube2j2:Mmp12	Ube2j2	Mmp12	0	Mmp12	3
Ube4b:Oas1a	Ube4b	Oas1a	1	Abcc5	2
Ubl3:Laptm4a	Ubl3	Laptm4a	0	Akr1e1	2
Ubqln1:Rcc2	Ubqln1	Rcc2	0	Rcc2	4
Ubxn2b:Nsmaf	Ubxn2b	Nsmaf	0	Nsmaf	0
Ufsp2:Oas1g	Ufsp2	Oas1g	0	Oas1g	4
Uhrf1bp1l:1810058I24Rik	Uhrf1bp1l	1810058I24Rik	1	1810058I24Rik	0
Utrn:Pex7	Utrn	Pex7	1	Pex7	2
Uty:Csnk1g3	Uty	Csnk1g3	0	Arhgap30	2
Uvrag:Gm47754	Uvrag	Gm47754	1	Gm47754	1
Vav3:Slc25a24	Vav3	Slc25a24	0	Slc25a24	2
Vegfb:Ppp1ca	Vegfb	Ppp1ca	0	Ppp1ca	4
Vezt:Tmem19	Vezt	Tmem19	0	Tmem19	0
Vps13b:Cpq	Vps13b	Cpq	0	Cpq	4
Vps13d:Cmpk1	Vps13d	Cmpk1	0	Cmpk1	1
Vps41:Mgmt	Vps41	Mgmt	0	Mgmt	1
Vps45:Ctsh	Vps45	Ctsh	0	Ctsh	0
Vps8:2510009E07Rik	Vps8	2510009E07Rik	0	2510009E07Rik	1
Vrk2:Gm20717	Vrk2	Gm20717	1	Gm20717	4
Vsir:Dctn6	Vsir	Dctn6	1	Dctn6	0
Vti1a:Trir	Vti1a	Trir	1	Trir	0
Vti1b:Lyz2	Vti1b	Lyz2	0	Lyz2	1
Washc4:Riok2	Washc4	Riok2	1	Riok2	1
Wasl:Chchd3	Wasl	Chchd3	0	1810058I24Rik	0
Wdfy2:Gpi1	Wdfy2	Gpi1	0	Gpi1	1
Wdr41:Tbca	Wdr41	Tbca	0	Tbca	2
Wdr91:Ier3ip1	Wdr91	Ier3ip1	0	Ier3ip1	2
Wdyhv1:Prdx1	Wdyhv1	Prdx1	1	Pik3ap1	0
Wipi2:Arpc1b	Wipi2	Arpc1b	0	Arpc1b	4
Wtap:Tcp1	Wtap	Tcp1	0	Srek1	4
Wwox:Maf	Wwox	Maf	0	Maf	3
Wwox:Rasa4	Wwox	Rasa4	0	Maf	3
Xpo6:Dusp12	Xpo6	Dusp12	0	Dusp12	2
Yipf5:Airn	Yipf5	Airn	0	Airn	2
Ykt6:Map3k20	Ykt6	Map3k20	0	Map3k20	1
Ypel2:Capg	Ypel2	Capg	0	Capg	2
Zbtb17:Dhrs3	Zbtb17	Dhrs3	0	Dhrs3	4
Zc3h7a:Phf11b	Zc3h7a	Phf11b	0	Phf11b	3
Zc3h7a:Ppp4r1	Zc3h7a	Ppp4r1	1	Phf11b	3
Zcchc8:Sars	Zcchc8	Sars	0	Clcc1	2
Zdhhc13:Mapk1ip1	Zdhhc13	Mapk1ip1	1	Mapk1ip1	2
Zeb2:Gtdc1	Zeb2	Gtdc1	1	Gtdc1	0
Zeb2:Tpst2	Zeb2	Tpst2	0	Gtdc1	0
Zfp106:Ndrg3	Zfp106	Ndrg3	0	Ndrg3	3
Zfp266:Ly6a	Zfp266	Ly6a	0	Ly6a	4
Zfp386:Gm20658	Zfp386	Gm20658	0	Car5b	0
Zfp655:Atp5j2	Zfp655	Atp5j2	0	Atp5j2	3
Zfp704:Mrps28	Zfp704	Mrps28	0	Arhgap10	0
Zfp944:Ccdc171	Zfp944	Ccdc171	0	Ccdc171	1
Zkscan17:Sp3os	Zkscan17	Sp3os	0	Sp3os	3
Zmiz1:Pinx1	Zmiz1	Pinx1	0	Pinx1	3
